"callsite_rva","iat_mem_rva","dll","import_name"
"0x00338317","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0033832A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0033846E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00338481","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00338494","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00338543","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00338556","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0033856E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00338589","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003385A4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003385B7","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003385D4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003385EE","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00338608","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00338622","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0033863C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00338653","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00348658","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00348768","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00348BFC","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00348C52","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00348C65","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00348E53","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00348EB0","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00348EC3","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00348F48","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0036DFD2","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00383679","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003836DC","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003900A8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003900C4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003905A3","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395024","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395042","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395060","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039507E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039509C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003950BA","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003950D8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003950F6","0x004301E8","KERNEL32.dll","GetProcAddress"
